Host,Server Name,Status,Public IP
google.com,"google.com","Online","142.250.194.110"
x.com,"x.com","Online","104.244.42.1"
google.com,"google.com","Online","142.250.192.238"
x.com,"x.com","Online","104.244.42.65"
google.com,"google.com","Online","142.250.195.14"
x.com,"x.com","Online","104.244.42.1"
google.com,"google.com","Online","142.250.192.238"
x.com,"x.com","Online","104.244.42.65"
google.com,"google.com","Online","142.250.195.14"
x.com,"x.com","Online","104.244.42.1"
google.com,"google.com","Online","142.250.192.238"
x.com,"x.com","Online","104.244.42.65"
